vtx-A04-299-81-27-b	Δ = 299	bi.bi = 81	b0.bi = 27	hypers = 6 x (irr-A4-5) + 4 x (irr-A4-10) + 3 x (irr-A4-15) + 2 x (irr-A4-24) + 1 x (irr-A4-35) + 1 x (irr-A4-50) + 1 x (irr-A4-75)
vtx-A04-299-81-27-c	Δ = 299	bi.bi = 81	b0.bi = 27	hypers = 7 x (irr-A4-5) + 3 x (irr-A4-10) + 2 x (irr-A4-15) + 2 x (irr-A4-24) + 1 x (irr-A4-35) + 1 x (irr-A4-45) + 2 x (irr-A4-50)
vtx-A04-299-81-27-d	Δ = 299	bi.bi = 81	b0.bi = 27	hypers = 7 x (irr-A4-5) + 4 x (irr-A4-10) + 2 x (irr-A4-15) + 2 x (irr-A4-24) + 2 x (irr-A4-50) + 1 x (irr-A4-70a)
vtx-A04-300-36-18-a	Δ = 300	bi.bi = 36	b0.bi = 18	hypers = 27 x (irr-A4-5) + 3 x (irr-A4-10) + 1 x (irr-A4-24) + 3 x (irr-A4-45)
vtx-A04-300-36-18-b	Δ = 300	bi.bi = 36	b0.bi = 18	hypers = 26 x (irr-A4-5) + 4 x (irr-A4-10) + 1 x (irr-A4-24) + 1 x (irr-A4-40) + 2 x (irr-A4-45)
vtx-A04-300-36-18-c	Δ = 300	bi.bi = 36	b0.bi = 18	hypers = 25 x (irr-A4-5) + 5 x (irr-A4-10) + 1 x (irr-A4-24) + 2 x (irr-A4-40) + 1 x (irr-A4-45)
vtx-A04-300-36-18-d	Δ = 300	bi.bi = 36	b0.bi = 18	hypers = 24 x (irr-A4-5) + 6 x (irr-A4-10) + 1 x (irr-A4-24) + 3 x (irr-A4-40)
vtx-A04-300-49-21-a	Δ = 300	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-A4-5) + 7 x (irr-A4-10) + 5 x (irr-A4-15) + 1 x (irr-A4-24) + 1 x (irr-A4-40) + 1 x (irr-A4-50)
vtx-A04-300-49-21-b	Δ = 300	bi.bi = 49	b0.bi = 21	hypers = 13 x (irr-A4-5) + 7 x (irr-A4-10) + 6 x (irr-A4-15) + 1 x (irr-A4-24) + 1 x (irr-A4-75)
vtx-A04-300-49-21-c	Δ = 300	bi.bi = 49	b0.bi = 21	hypers = 14 x (irr-A4-5) + 6 x (irr-A4-10) + 5 x (irr-A4-15) + 1 x (irr-A4-24) + 1 x (irr-A4-45) + 1 x (irr-A4-50)
vtx-A04-300-64-24	Δ = 300	bi.bi = 64	b0.bi = 24	hypers = 12 x (irr-A4-5) + 2 x (irr-A4-10) + 8 x (irr-A4-15) + 1 x (irr-A4-24) + 2 x (irr-A4-50)
vtx-A04-300-81-27-a	Δ = 300	bi.bi = 81	b0.bi = 27	hypers = 6 x (irr-A4-5) + 5 x (irr-A4-10) + 3 x (irr-A4-15) + 1 x (irr-A4-24) + 1 x (irr-A4-35) + 1 x (irr-A4-40) + 2 x (irr-A4-50)
vtx-A04-300-81-27-b	Δ = 300	bi.bi = 81	b0.bi = 27	hypers = 6 x (irr-A4-5) + 5 x (irr-A4-10) + 4 x (irr-A4-15) + 1 x (irr-A4-24) + 1 x (irr-A4-35) + 1 x (irr-A4-50) + 1 x (irr-A4-75)
