vtx-D04-n28-n4-n2	Δ = -28	bi.bi = -4	b0.bi = -2	hypers = 
vtx-D04-260-30-16-b	Δ = 260	bi.bi = 30	b0.bi = 16	hypers = 11 x (irr-D4-8a) + 4 x (irr-D4-8b) + 4 x (irr-D4-28) + 1 x (irr-D4-56a)
vtx-D04-260-35-17	Δ = 260	bi.bi = 35	b0.bi = 17	hypers = 8 x (irr-D4-8a) + 7 x (irr-D4-8b) + 2 x (irr-D4-28) + 1 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-260-40-18-a	Δ = 260	bi.bi = 40	b0.bi = 18	hypers = 5 x (irr-D4-8a) + 10 x (irr-D4-8b) + 1 x (irr-D4-56a) + 2 x (irr-D4-56b)
vtx-D04-260-40-18-b	Δ = 260	bi.bi = 40	b0.bi = 18	hypers = 14 x (irr-D4-8a) + 1 x (irr-D4-8b) + 2 x (irr-D4-56a) + 1 x (irr-D4-56b)
vtx-D04-260-48-20	Δ = 260	bi.bi = 48	b0.bi = 20	hypers = 8 x (irr-D4-8a) + 3 x (irr-D4-28) + 1 x (irr-D4-35a) + 3 x (irr-D4-35b)
vtx-D04-262-48-20-a	Δ = 262	bi.bi = 48	b0.bi = 20	hypers = 10 x (irr-D4-8a) + 1 x (irr-D4-28) + 1 x (irr-D4-35a) + 1 x (irr-D4-35b) + 2 x (irr-D4-56a)
vtx-D04-263-16-12-a	Δ = 263	bi.bi = 16	b0.bi = 12	hypers = 32 x (irr-D4-8b) + 1 x (irr-D4-35a)
vtx-D04-263-16-12-b	Δ = 263	bi.bi = 16	b0.bi = 12	hypers = 16 x (irr-D4-8a) + 16 x (irr-D4-8b) + 1 x (irr-D4-35b)
vtx-D04-263-48-20-c	Δ = 263	bi.bi = 48	b0.bi = 20	hypers = 11 x (irr-D4-8a) + 1 x (irr-D4-35a) + 3 x (irr-D4-56a)
vtx-D04-263-48-20-d	Δ = 263	bi.bi = 48	b0.bi = 20	hypers = 11 x (irr-D4-8b) + 1 x (irr-D4-35b) + 3 x (irr-D4-56b)
vtx-D04-264-33-17-a	Δ = 264	bi.bi = 33	b0.bi = 17	hypers = 1 x (irr-D4-8a) + 11 x (irr-D4-8b) + 5 x (irr-D4-28) + 1 x (irr-D4-56b)
