vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	hypers = 1 x (irr-G2-7)
vtx-G02-266-64-24	Δ = 266	bi.bi = 64	b0.bi = 24	hypers = 13 x (irr-G2-7) + 7 x (irr-G2-27)
vtx-G02-266-72-26	Δ = 266	bi.bi = 72	b0.bi = 26	hypers = 7 x (irr-G2-7) + 3 x (irr-G2-14) + 7 x (irr-G2-27)
vtx-G02-266-80-28	Δ = 266	bi.bi = 80	b0.bi = 28	hypers = 1 x (irr-G2-7) + 6 x (irr-G2-14) + 7 x (irr-G2-27)
vtx-G02-266-84-26	Δ = 266	bi.bi = 84	b0.bi = 26	hypers = 13 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-266-100-30	Δ = 266	bi.bi = 100	b0.bi = 30	hypers = 1 x (irr-G2-7) + 13 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-266-119-31	Δ = 266	bi.bi = 119	b0.bi = 31	hypers = 5 x (irr-G2-7) + 12 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-266-153-35	Δ = 266	bi.bi = 153	b0.bi = 35	hypers = 8 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-267-95-29	Δ = 267	bi.bi = 95	b0.bi = 29	hypers = 3 x (irr-G2-7) + 14 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-267-189-39	Δ = 267	bi.bi = 189	b0.bi = 39	hypers = 3 x (irr-G2-14) + 6 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-267-209-41	Δ = 267	bi.bi = 209	b0.bi = 41	hypers = 10 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-268-132-34	Δ = 268	bi.bi = 132	b0.bi = 34	hypers = 2 x (irr-G2-7) + 10 x (irr-G2-14) + 2 x (irr-G2-64)
vtx-G02-269-49-21	Δ = 269	bi.bi = 49	b0.bi = 21	hypers = 19 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-269-99-29	Δ = 269	bi.bi = 99	b0.bi = 29	hypers = 10 x (irr-G2-7) + 1 x (irr-G2-14) + 5 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-269-126-32	Δ = 269	bi.bi = 126	b0.bi = 32	hypers = 8 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-269-153-35	Δ = 269	bi.bi = 153	b0.bi = 35	hypers = 13 x (irr-G2-7) + 3 x (irr-G2-64)
vtx-G02-269-169-39	Δ = 269	bi.bi = 169	b0.bi = 39	hypers = 1 x (irr-G2-7) + 6 x (irr-G2-14) + 3 x (irr-G2-64)
vtx-G02-270-36-18	Δ = 270	bi.bi = 36	b0.bi = 18	hypers = 27 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-270-144-36	Δ = 270	bi.bi = 144	b0.bi = 36	hypers = 3 x (irr-G2-7) + 5 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-271-39-19	Δ = 271	bi.bi = 39	b0.bi = 19	hypers = 23 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-27)
